lsoa_code,borough,major_category,minor_category,value,year,month
E01000972,Camden,Criminal Damage,Criminal Damage To Other Building,0,2009,10
E01000659,Bromley,Other Notifiable Offences,Other Notifiable,0,2013,1
E01003774,Redbridge,Burglary,Burglary in a Dwelling,2,2013,1
E01000898,Camden,Robbery,Personal Property,0,2010,5
E01001874,Hammersmith and Fulham,Violence Against the Person,Harassment,1,2014,2
E01002536,Hillingdon,Theft and Handling,Other Theft,3,2015,12
E01001358,Ealing,Robbery,Personal Property,0,2008,7
E01000027,Barking and Dagenham,Criminal Damage,Other Criminal Damage,1,2012,8
E01004714,Westminster,Theft and Handling,Other Theft,50,2015,6
E01004585,Wandsworth,Theft and Handling,Other Theft,2,2014,9
E01001914,Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,2
E01001193,Croydon,Burglary,Burglary in a Dwelling,1,2009,1
E01002119,Harrow,Other Notifiable Offences,Other Notifiable,1,2016,8
E01000148,Barnet,Violence Against the Person,Wounding/GBH,0,2011,3
E01001383,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,5
E01003068,Lambeth,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,10
E01001868,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,3
E01000896,Camden,Theft and Handling,Theft From Motor Vehicle,0,2011,6
E01001429,Enfield,Violence Against the Person,Other violence,0,2014,7
E01001209,Ealing,Robbery,Personal Property,0,2008,8
E01003342,Lewisham,Burglary,Burglary in Other Buildings,0,2008,1
E01000099,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,0,2010,12
E01002258,Havering,Violence Against the Person,Harassment,0,2015,5
E01001599,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2008,5
E01000901,Camden,Violence Against the Person,Assault with Injury,0,2014,4
E01002192,Harrow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,12
E01004436,Waltham Forest,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,5
E01000191,Barnet,Robbery,Personal Property,0,2014,10
E01000080,Barking and Dagenham,Violence Against the Person,Assault with Injury,4,2011,11
E01003927,Southwark,Burglary,Burglary in Other Buildings,1,2016,4
E01002844,Kensington and Chelsea,Violence Against the Person,Common Assault,1,2014,2
E01000404,Bexley,Drugs,Possession Of Drugs,0,2013,4
E01002904,Kensington and Chelsea,Robbery,Business Property,0,2011,7
E01003556,Newham,Drugs,Other Drugs,0,2013,11
E01000413,Bexley,Burglary,Burglary in Other Buildings,0,2008,3
E01000170,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,2
E01001047,Croydon,Theft and Handling,Theft From Motor Vehicle,0,2016,5
E01002269,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,2
E01001010,Croydon,Theft and Handling,Theft From Shops,2,2008,2
E01004494,Wandsworth,Violence Against the Person,Wounding/GBH,1,2009,8
E01002143,Harrow,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,5
E01004602,Wandsworth,Theft and Handling,Other Theft Person,1,2012,2
E01003911,Southwark,Burglary,Burglary in Other Buildings,0,2016,2
E01002752,Islington,Burglary,Burglary in a Dwelling,0,2014,6
E01003696,Redbridge,Sexual Offences,Other Sexual,0,2009,4
E01003187,Lambeth,Criminal Damage,Criminal Damage To Dwelling,0,2016,6
E01003494,Newham,Criminal Damage,Other Criminal Damage,0,2015,11
